IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
4225db0e71bea5cd8ef6808208486baa,1985,Hospitals,South,FL,501571.7566074032
b0b8241498e5d73e78ae0a2f898af32f,1985,Hospitals,West,ID,263099.408353782
4986cbaeb4ba69f1b3cdc2f2509dd0b5,1985,Medical Schools,South,TX,87609657.34971365
3727415b6edb5795d4b2ef7f54ce6935,1985,Research Institutes,South,DC,112328.96942508905
6a80b71e0a786109094102318795a36b,1985,Hospitals,South,LA,362286.9942144453
78dd48a04bd31c2190fbb07d2959df89,1985,Other Higher Education,West,AZ,4510979.744641293
f71f42fa60192134473fd805092b55b5,1985,Other Higher Education,West,CA,3737590.840833738
5a9b7e84ab5617fe8848b971b542bdb0,1985,Medical Schools,West,AZ,34389752.54552355
73d487fcc8b6041bf41c59ea86573d4a,1985,Other Higher Education,West,AZ,19286748.17642622
217e02f9d0ce240605e14cce1b41b01b,1985,Other Higher Education,West,CA,548326.5177156144
abdcb9d1a63c347e6059485436f7a7a5,1985,Other Higher Education,West,CA,166812.46925888388
a2d1e35ecaa2bc8df59522170ad263f8,1985,Other Higher Education,West,CA,820794.572901683
6c4798cc80c6937c36fb1f7bc2ce69d0,1985,Other Higher Education,West,CA,135034.9039894909
d52e20f3351bf13377235f7d680dc0ff,1985,Other Higher Education,West,CA,229896.79771005356
b27c03921f6784f1916f239fb294b51b,1985,Other Higher Education,West,CA,4569055.874302059
36a7e38e7b604c0bc10995ca1badd227,1985,Other Higher Education,West,CA,832709.9750513186
e98072e46bb53a10dd961e341c65a109,1985,Other Higher Education,West,CA,223706.8552434408
fe0e4155627e7fb2b25f005cf893c14d,1985,Other Higher Education,West,CA,66108.205290681115
16b77de48b8934c1b4d736d3f183e01b,1985,Other Higher Education,West,CA,261996.6571246122
5e5780f1033ee181b05e3d2bab69b16f,1985,Other Higher Education,West,CA,372486.6542783505
997ed60767e8c1d6fd879340f00c776d,1985,Other Higher Education,West,CA,174692.87573741996
b6eeb7d4974dc84cb2728ea9c1788590,1985,Other Higher Education,South,FL,242592.6569809848
868365a428fe9ba19f5c1737f6010fe5,1985,Other Higher Education,South,FL,8968000.505107874
8ea4e5380e63289d25a9acdba0940b61,1985,Medical Schools,South,FL,35877942.3508086
e4f0d8825342bc61624a90b4d0214c53,1985,Other Higher Education,South,FL,17830759.352845047
